"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","57.19"
"Array Azimuth (deg)","270"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","21","2","0","0","15","0.8","0.15","0","15","0","0"
"3","21","3","0","0","15.2","0.7","0.15","0","15.2","0","0"
"3","21","4","0","0","15.3","0.8","0.15","0","15.3","0","0"
"3","21","5","0","0","15.7","1.1","0.15","0","15.7","0","0"
"3","21","6","212","44","16.7","1.3","0.15","27.754","17.48","85.224","66.35"
"3","21","7","430","106","18.1","1.5","0.15","62.117","19.785","203.324","180.266"
"3","21","8","504","171","19.3","1.3","0.15","93.984","21.96","305.878","279.185"
"3","21","9","556","221","20.6","1.2","0.15","112.829","23.859","362.35","333.657"
"3","21","10","849","132","21.5","1.3","0.15","189.134","26.37","462.985","430.726"
"3","21","11","590","285","21.9","1.5","0.15","404.514","32.707","1268.181","1207.39"
"3","21","12","629","265","22.4","1.5","0.15","581.354","38.105","1867.244","1785.226"
"3","21","13","333","350","23.1","1.6","0.15","548.348","37.588","1763.947","1685.589"
"3","21","14","220","290","23.2","1.8","0.15","450.558","34.623","1472.574","1404.541"
"3","21","15","612","130","23.1","1.9","0.15","759.615","42.061","2468.011","2364.705"
"3","21","16","241","107","21.4","1.5","0.15","323.685","30.221","1097.145","1042.414"
"3","21","17","67","34","19.9","1.2","0.15","68.615","21.856","207.466","184.26"
"3","21","18","0","0","19.3","1.1","0.15","0","19.3","0","0"
"3","21","19","0","0","19.1","1.1","0.15","0","19.1","0","0"
"3","21","20","0","0","19.3","0.9","0.15","0","19.3","0","0"
"3","21","21","0","0","19.4","0.7","0.15","0","19.4","0","0"
"3","21","22","0","0","19.2","0.6","0.15","0","19.2","0","0"
"3","21","23","0","0","18.7","1","0.15","0","18.7","0","0"
"3","22","0","0","0","18.1","1.4","0.15","0","18.1","0","0"
"3","22","1","0","0","17.6","1.3","0.15","0","17.6","0","0"
"3","22","2","0","0","17.2","1","0.15","0","17.2","0","0"
"3","22","3","0","0","16.9","0.8","0.15","0","16.9","0","0"
"3","22","4","0","0","16.5","1","0.15","0","16.5","0","0"
"3","22","5","0","0","16.5","1.2","0.15","0","16.5","0","0"
"3","22","6","0","13","17.1","1.3","0.15","8.432","17.337","24.569","7.844"
"3","22","7","5","75","18","1.5","0.15","48.875","19.326","158.908","137.423"
"3","22","8","0","33","19","1.8","0.15","21.6","19.547","66.762","48.542"
"3","22","9","0","122","19.6","2.2","0.15","79.341","21.449","255.046","230.154"
"3","22","10","14","251","19.9","2.6","0.15","158.362","23.313","512.93","478.901"
"3","22","11","7","193","20","2.9","0.15","128.528","22.628","414.616","384.07"
"3","22","12","11","230","19.9","3","0.15","159.564","23.11","518.999","484.754"
"3","22","13","10","214","19.7","2.8","0.15","153.421","22.897","500.721","467.125"
"3","22","14","16","187","19.5","2.6","0.15","144.484","22.627","475.2","442.508"
"3","22","15","27","128","19.5","2.5","0.15","126.027","22.288","419.03","388.328"
"3","22","16","76","110","18.6","2.5","0.15","160.437","22.164","546.673","511.448"
"3","22","17","0","24","17.1","2.3","0.15","15.668","17.453","45.111","27.658"
"3","22","18","0","0","16.1","2.3","0.15","0","16.1","0","0"
"3","22","19","0","0","15.7","2.4","0.15","0","15.7","0","0"
"3","22","20","0","0","15.7","2.4","0.15","0","15.7","0","0"
"3","22","21","0","0","15.5","2.1","0.15","0","15.5","0","0"
"3","22","22","0","0","15.3","1.7","0.15","0","15.3","0","0"
"3","22","23","0","0","15","1.3","0.15","0","15","0","0"
"3","23","0","0","0","14.8","1.2","0.15","0","14.8","0","0"
"3","23","1","0","0","14.7","1.3","0.15","0","14.7","0","0"
"3","23","2","0","0","14.6","1.4","0.15","0","14.6","0","0"
"3","23","3","0","0","14.5","1.4","0.15","0","14.5","0","0"
"3","23","4","0","0","14.5","1.5","0.15","0","14.5","0","0"
"3","23","5","0","0","14.7","1.5","0.15","0","14.7","0","0"
"3","23","6","322","38","15.4","1.3","0.15","25.536","16.119","79.105","60.448"
"3","23","7","0","70","16.3","1.1","0.15","45.89","17.669","149.86","128.696"
"3","23","8","0","70","17.5","1.3","0.15","46.01","18.803","147.72","126.631"
"3","23","9","114","293","18.7","1.9","0.15","153.496","22.497","503.372","469.681"
"3","23","10","658","226","19.5","2.4","0.15","209.283","23.922","568.289","532.298"
"3","23","11","513","313","19.9","3","0.15","394.281","27.783","1264.817","1204.145"
"3","23","12","304","402","19.9","3.7","0.15","472.684","28.425","1563.482","1492.227"
"3","23","13","405","327","19.6","4.1","0.15","588.226","29.626","1956.147","1870.979"
"3","23","14","880","103","18.9","4.3","0.15","907.785","34.009","3010.702","2888.167"
"3","23","15","524","159","18.5","4.4","0.15","696.942","29.968","2371.699","2271.806"
"3","23","16","510","91","16.6","4.1","0.15","552.951","26.114","1929.319","1845.101"
"3","23","17","118","37","15.3","3.8","0.15","104.198","17.132","331.757","304.147"
"3","23","18","0","0","14.5","3.5","0.15","0","14.5","0","0"
"3","23","19","0","0","14.1","3.2","0.15","0","14.1","0","0"
"3","23","20","0","0","13.9","3","0.15","0","13.9","0","0"
"3","23","21","0","0","13.9","3.1","0.15","0","13.9","0","0"
"3","23","22","0","0","13.8","3.1","0.15","0","13.8","0","0"
"3","23","23","0","0","13.8","3","0.15","0","13.8","0","0"
"3","24","0","0","0","13.7","3.1","0.15","0","13.7","0","0"
"3","24","1","0","0","13.6","3.1","0.15","0","13.6","0","0"
"3","24","2","0","0","13.6","3.1","0.15","0","13.6","0","0"
"3","24","3","0","0","13.5","3.1","0.15","0","13.5","0","0"
"3","24","4","0","0","13.3","2.9","0.15","0","13.3","0","0"
"3","24","5","0","0","13.3","2.9","0.15","0","13.3","0","0"
"3","24","6","0","33","13.4","3.1","0.15","21.573","13.827","67.28","49.041"
"3","24","7","155","136","13.8","3.4","0.15","79.839","15.317","269.273","243.877"
"3","24","8","222","224","14.3","3.9","0.15","124.792","16.49","420.529","389.773"
"3","24","9","431","270","15","4.3","0.15","131.804","17.178","437.883","406.512"
"3","24","10","844","157","15.7","4.6","0.15","210.182","18.779","549.286","513.968"
"3","24","11","616","275","16.1","4.8","0.15","413.857","22.446","1353.67","1289.85"
"3","24","12","876","151","16.1","5.1","0.15","656.932","25.91","2221.073","2126.517"
"3","24","13","927","114","15.8","5.1","0.15","834.079","28.274","2808.142","2692.784"
"3","24","14","886","106","15.4","4.9","0.15","918.134","29.511","3096.787","2971.201"
"3","24","15","809","95","15.2","4.8","0.15","911.253","29.43","3109.506","2983.47"
"3","24","16","651","77","14","4.3","0.15","655.966","24.979","2303.665","2206.183"
"3","24","17","290","41","13.2","3.7","0.15","178.94","16.402","587.755","551.074"
"3","24","18","0","0","12.7","3.2","0.15","0","12.7","0","0"
"3","24","19","0","0","12.5","3","0.15","0","12.5","0","0"
"3","24","20","0","0","12.5","2.9","0.15","0","12.5","0","0"
"3","24","21","0","0","12.4","2.7","0.15","0","12.4","0","0"
"3","24","22","0","0","12.3","2.6","0.15","0","12.3","0","0"
"3","24","23","0","0","12.2","2.5","0.15","0","12.2","0","0"
"3","25","0","0","0","12.2","2.8","0.15","0","12.2","0","0"
"3","25","1","0","0","12.2","3.1","0.15","0","12.2","0","0"
"3","25","2","0","0","12.2","3.3","0.15","0","12.2","0","0"
"3","25","3","0","0","12.2","3.5","0.15","0","12.2","0","0"
"3","25","4","0","0","12.2","3.7","0.15","0","12.2","0","0"
"3","25","5","0","0","12.5","3.8","0.15","0","12.5","0","0"
"3","25","6","176","51","13","4","0.15","31.93","13.55","101.665","82.209"
"3","25","7","163","142","13.6","4.4","0.15","82.818","14.959","280.08","254.301"
"3","25","8","481","184","14.3","4.6","0.15","99.673","15.886","333.04","305.385"
"3","25","9","821","133","15.1","4.9","0.15","79.51","16.311","258.236","233.231"
"3","25","10","926","113","15.9","5","0.15","208.539","18.768","528.636","494.05"
"3","25","11","944","118","16.3","5.2","0.15","454.598","22.914","1475.283","1407.154"
"3","25","12","947","118","16.4","5.4","0.15","674.391","26.111","2280.379","2183.721"
"3","25","13","931","115","16","5.5","0.15","840.481","27.974","2832.186","2715.976"
"3","25","14","886","109","15.5","5.6","0.15","933.715","28.673","3157.076","3029.354"
"3","25","15","809","99","15.2","5.6","0.15","916.997","28.178","3142.778","3015.563"
"3","25","16","658","79","13.7","5.2","0.15","668.147","23.647","2358.124","2258.712"
"3","25","17","307","42","12.5","4.5","0.15","186.601","15.484","619.007","581.219"
"3","25","18","0","0","11.7","4","0.15","0","11.7","0","0"
"3","25","19","0","0","11.5","3.9","0.15","0","11.5","0","0"
"3","25","20","0","0","11.5","3.8","0.15","0","11.5","0","0"
"3","25","21","0","0","11.5","3.7","0.15","0","11.5","0","0"
"3","25","22","0","0","11.6","3.6","0.15","0","11.6","0","0"
"3","25","23","0","0","11.7","3.3","0.15","0","11.7","0","0"
"3","26","0","0","0","11.9","3","0.15","0","11.9","0","0"
"3","26","1","0","0","12.1","2.8","0.15","0","12.1","0","0"
"3","26","2","0","0","12.2","2.8","0.15","0","12.2","0","0"
"3","26","3","0","0","12.1","3","0.15","0","12.1","0","0"
"3","26","4","0","0","11.9","3.2","0.15","0","11.9","0","0"
"3","26","5","0","0","12.1","3.4","0.15","0","12.1","0","0"
"3","26","6","351","53","12.9","3.9","0.15","33.324","13.483","106.522","86.894"
"3","26","7","683","84","13.9","4.3","0.15","51.454","14.756","170.317","148.428"
"3","26","8","767","114","14.9","4.1","0.15","66.795","16.037","218.459","194.864"
"3","26","9","656","190","15.8","3.7","0.15","97.47","17.554","318.396","291.259"
"3","26","10","576","260","16.6","3.4","0.15","222.059","20.598","633.698","595.389"
"3","26","11","947","119","17.1","3.4","0.15","459.301","25.682","1477.064","1408.872"
"3","26","12","928","126","17.4","3.7","0.15","670.878","29.531","2238.283","2143.118"
"3","26","13","889","133","17.4","4.3","0.15","833.673","31.242","2772.436","2658.343"
"3","26","14","838","127","17.1","4.7","0.15","909.126","31.434","3040.973","2917.365"
"3","26","15","755","112","16.8","4.8","0.15","886.375","30.638","3008.694","2886.23"
"3","26","16","476","98","15.4","4.7","0.15","535.138","23.884","1881.883","1799.347"
"3","26","17","272","43","14","4.1","0.15","179.296","17.033","592.384","555.54"
"3","26","18","0","0","13","3.3","0.15","0","13","0","0"
"3","26","19","0","0","12.7","2.7","0.15","0","12.7","0","0"
"3","26","20","0","0","12.9","2.3","0.15","0","12.9","0","0"
"3","26","21","0","0","13.3","1.8","0.15","0","13.3","0","0"
"3","26","22","0","0","13.2","1.3","0.15","0","13.2","0","0"
"3","26","23","0","0","12.8","1","0.15","0","12.8","0","0"
"3","27","0","0","0","12.5","0.9","0.15","0","12.5","0","0"
"3","27","1","0","0","12.2","0.9","0.15","0","12.2","0","0"
"3","27","2","0","0","11.8","1","0.15","0","11.8","0","0"
"3","27","3","0","0","11.4","1.2","0.15","0","11.4","0","0"
"3","27","4","0","0","11","1.4","0.15","0","11","0","0"
"3","27","5","0","0","11.7","1.6","0.15","0","11.7","0","0"
"3","27","6","424","51","13.9","2.2","0.15","34.47","14.703","109.985","90.233"
"3","27","7","719","81","16.2","2.7","0.15","49.629","17.259","162.176","140.575"
"3","27","8","855","97","17.8","2.7","0.15","63.935","19.158","205.667","182.525"
"3","27","9","926","105","19.1","2.4","0.15","74.733","20.77","237.013","212.761"
"3","27","10","964","110","19.9","2.3","0.15","219.251","24.474","545.58","510.393"
"3","27","11","975","116","20.6","2.5","0.15","471.748","30.876","1488.944","1420.33"
"3","27","12","966","120","21","2.7","0.15","692.92","35.751","2256.775","2160.954"
"3","27","13","935","122","21.2","3","0.15","854.074","38.485","2761.491","2647.786"
"3","27","14","882","119","21","3.3","0.15","943.779","39.219","3061.05","2936.731"
"3","27","15","798","107","20.8","3.5","0.15","917.394","38.013","3025.216","2902.166"
"3","27","16","632","86","18.7","3.5","0.15","662.56","31.165","2271.7","2175.35"
"3","27","17","275","46","16.4","3.2","0.15","186.003","20.011","610.204","572.728"
"3","27","18","0","0","15","2.9","0.15","0","15","0","0"
"3","27","19","0","0","14.4","2.4","0.15","0","14.4","0","0"
"3","27","20","0","0","14.2","1.8","0.15","0","14.2","0","0"
"3","27","21","0","0","14","1.2","0.15","0","14","0","0"
"3","27","22","0","0","13.9","0.8","0.15","0","13.9","0","0"
"3","27","23","0","0","13.8","0.6","0.15","0","13.8","0","0"
"3","28","0","0","0","13.7","0.5","0.15","0","13.7","0","0"
"3","28","1","0","0","13.7","0.5","0.15","0","13.7","0","0"
