"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","47.94"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","21","13","333","350","23.1","1.6","0.15","624.671","39.607","1996.972","1910.357"
"3","21","14","220","290","23.2","1.8","0.15","420.64","33.863","1376.199","1311.58"
"3","21","15","612","130","23.1","1.9","0.15","488.039","35.277","1622.464","1549.12"
"3","21","16","241","107","21.4","1.5","0.15","179.07","26.228","581.603","545.14"
"3","21","17","67","34","19.9","1.2","0.15","34.494","20.849","90.575","71.511"
"3","21","18","0","0","19.3","1.1","0.15","0","19.3","0","0"
"3","21","19","0","0","19.1","1.1","0.15","0","19.1","0","0"
"3","21","20","0","0","19.3","0.9","0.15","0","19.3","0","0"
"3","21","21","0","0","19.4","0.7","0.15","0","19.4","0","0"
"3","21","22","0","0","19.2","0.6","0.15","0","19.2","0","0"
"3","21","23","0","0","18.7","1","0.15","0","18.7","0","0"
"3","22","0","0","0","18.1","1.4","0.15","0","18.1","0","0"
"3","22","1","0","0","17.6","1.3","0.15","0","17.6","0","0"
"3","22","2","0","0","17.2","1","0.15","0","17.2","0","0"
"3","22","3","0","0","16.9","0.8","0.15","0","16.9","0","0"
"3","22","4","0","0","16.5","1","0.15","0","16.5","0","0"
"3","22","5","0","0","16.5","1.2","0.15","0","16.5","0","0"
"3","22","6","0","13","17.1","1.3","0.15","9.416","17.365","27.605","10.773"
"3","22","7","5","75","18","1.5","0.15","56.982","19.546","186.289","163.834"
